Received_data:aa55020000045db7ecac; usetime/send:407.0000648498535 ms
Received_data:aa55020000045db7ecac; usetime/send:431.99992179870605 ms
Received_data:aa55020000045db7ecac; usetime/send:404.9999713897705 ms
Received_data:aa55020000045db7ecac; usetime/send:429.0001392364502 ms
Received_data:aa55020000045db7ecac; usetime/send:388.99993896484375 ms
Received_data:aa55020000045db7ecac; usetime/send:426.00011825561523 ms
Received_data:aa55020000045db7ecac; usetime/send:394.9999809265137 ms
Received_data:aa55020000045db7ecac; usetime/send:395.9999084472656 ms
Received_data:aa55020000045db7ecac; usetime/send:428.9999008178711 ms
Received_data:aa55020000045db7ecac; usetime/send:394.0002918243408 ms
Received_data:aa55020000045db7ecac; usetime/send:411.9999408721924 ms
Received_data:aa55020000045db7ecac; usetime/send:390.99979400634766 ms
Received_data:aa55020000045db7ecac; usetime/send:415.9998893737793 ms
Received_data:aa55020000045db7ecac; usetime/send:389.00017738342285 ms
Received_data:aa55020000045db7ecac; usetime/send:415.9998893737793 ms
Received_data:aa55020000045db7ecac; usetime/send:379.99987602233887 ms
Received_data:aa55020000045db7ecac; usetime/send:413.00010681152344 ms
Received_data:aa55020000045db7ecac; usetime/send:377.000093460083 ms
Received_data:aa55020000045db7ecac; usetime/send:411.9999408721924 ms
Received_data:aa55020000045db7ecac; usetime/send:374.00007247924805 ms
Received_data:aa55020000045db7ecac; usetime/send:409.9998474121094 ms
Received_data:aa55020000045db7ecac; usetime/send:372.999906539917 ms
Received_data:aa55020000045db7ecac; usetime/send:370.00012397766113 ms
Received_data:aa55020000045db7ecac; usetime/send:402.00018882751465 ms
Received_data:aa55020000045db7ecac; usetime/send:399.0001678466797 ms
Received_data:aa55020000045db7ecac; usetime/send:368.0000305175781 ms
Received_data:aa55020000045db7ecac; usetime/send:370.00012397766113 ms
Received_data:aa55020000045db7ecac; usetime/send:403.0001163482666 ms
Received_data:aa55020000045db7ecac; usetime/send:369.99988555908203 ms
Received_data:aa55020000045db7ecac; usetime/send:402.00018882751465 ms
Received_data:aa55020000045db7ecac; usetime/send:367.0001029968262 ms
Received_data:aa55020000045db7ecac; usetime/send:399.99985694885254 ms
Received_data:aa55020000045db7ecac; usetime/send:365.9999370574951 ms
Received_data:aa55020000045db7ecac; usetime/send:396.0001468658447 ms
Received_data:aa55020000045db7ecac; usetime/send:364.0000820159912 ms
Received_data:aa55020000045db7ecac; usetime/send:393.9998149871826 ms
Received_data:aa55020000045db7ecac; usetime/send:361.9997501373291 ms
Received_data:aa55020000045db7ecac; usetime/send:392.99988746643066 ms
Received_data:aa55020000045db7ecac; usetime/send:350.00014305114746 ms
Received_data:aa55020000045db7ecac; usetime/send:390.99979400634766 ms
Received_data:aa55020000045db7ecac; usetime/send:389.00017738342285 ms
Received_data:aa55020000045db7ecac; usetime/send:354.0000915527344 ms
Received_data:aa55020000045db7ecac; usetime/send:387.00008392333984 ms
Received_data:aa55020000045db7ecac; usetime/send:350.9998321533203 ms
Received_data:aa55020000045db7ecac; usetime/send:384.0000629425049 ms
Received_data:aa55020000045db7ecac; usetime/send:349.99990463256836 ms
Received_data:aa55020000045db7ecac; usetime/send:369.99988555908203 ms
Received_data:aa55020000045db7ecac; usetime/send:348.9999771118164 ms
Received_data:aa55020000045db7ecac; usetime/send:372.00021743774414 ms
Received_data:aa55020000045db7ecac; usetime/send:346.9996452331543 ms
Received_data:aa55020000045db7ecac; usetime/send:370.00012397766113 ms
Received_data:aa55020000045db7ecac; usetime/send:344.00010108947754 ms
Received_data:aa55020000045db7ecac; usetime/send:366.99986457824707 ms
Received_data:aa55020000045db7ecac; usetime/send:342.00024604797363 ms
Received_data:aa55020000045db7ecac; usetime/send:363.9998435974121 ms
Received_data:aa55020000045db7ecac; usetime/send:336.99989318847656 ms
Received_data:aa55020000045db7ecac; usetime/send:334.0001106262207 ms
Received_data:aa55020000045db7ecac; usetime/send:358.0002784729004 ms
Received_data:aa55020000045db7ecac; usetime/send:351.99999809265137 ms
Received_data:aa55020000045db7ecac; usetime/send:332.0000171661377 ms
Received_data:aa55020000045db7ecac; usetime/send:332.0000171661377 ms
Received_data:aa55020000045db7ecac; usetime/send:351.99999809265137 ms
Received_data:aa55020000045db7ecac; usetime/send:335.00003814697266 ms
Received_data:aa55020000045db7ecac; usetime/send:355.9999465942383 ms
Received_data:aa55020000045db7ecac; usetime/send:328.0000686645508 ms
Received_data:aa55020000045db7ecac; usetime/send:353.9998531341553 ms
Received_data:aa55020000045db7ecac; usetime/send:325.9997367858887 ms
Received_data:aa55020000045db7ecac; usetime/send:353.0004024505615 ms
Received_data:aa55020000045db7ecac; usetime/send:323.0001926422119 ms
Received_data:aa55020000045db7ecac; usetime/send:345.0000286102295 ms
Received_data:aa55020000045db7ecac; usetime/send:321.0000991821289 ms
Received_data:aa55020000045db7ecac; usetime/send:342.9999351501465 ms
Received_data:aa55020000045db7ecac; usetime/send:319.99993324279785 ms
Received_data:aa55020000045db7ecac; usetime/send:347.99981117248535 ms
Received_data:aa55020000045db7ecac; usetime/send:351.99999809265137 ms
Received_data:aa55020000045db7ecac; usetime/send:348.9999771118164 ms
Received_data:aa55020000045db7ecac; usetime/send:351.0000705718994 ms
Received_data:aa55230000045dfc615c; usetime/send:36.00001335144043 ms
Received_data:aa55230000045dfc615c; usetime/send:37.999868392944336 ms
Received_data:aa55230000045dfc615c; usetime/send:62.000274658203125 ms
Received_data:aa55230000045dfc615c; usetime/send:71.0000991821289 ms
Received_data:aa55230000045dfc615c; usetime/send:75.99997520446777 ms
Received_data:aa55230000045dfc615c; usetime/send:81.00032806396484 ms
Received_data:aa55020000045dfc615c; usetime/send:42.9997444152832 ms
Received_data:aa55230000045dfc615c; usetime/send:95.00002861022949 ms
Received_data:aa55230000045dfc615c; usetime/send:97.0003604888916 ms
Received_data:aa55230000045dfc615c; usetime/send:115.99993705749512 ms
Received_data:aa55230000045dfc615c; usetime/send:120.00012397766113 ms
Received_data:aa55230000045dfc615c; usetime/send:125.99968910217285 ms
Received_data:aa55230000045dfc615c; usetime/send:127.99978256225586 ms
Received_data:aa55230000045dfc615c; usetime/send:140.99979400634766 ms
Received_data:aa55230000045dfc615c; usetime/send:144.00005340576172 ms
Received_data:aa55230000045dfc615c; usetime/send:155.99989891052246 ms
Received_data:aa55230000045dfc615c; usetime/send:155.99989891052246 ms
Received_data:aa55230000045dfc615c; usetime/send:167.00005531311035 ms
Received_data:aa55230000045dfc615c; usetime/send:167.00005531311035 ms
Received_data:aa55230000045dfc615c; usetime/send:188.99989128112793 ms
Received_data:aa55230000045dfc615c; usetime/send:190.00005722045898 ms
Received_data:aa55230000045dfc615c; usetime/send:204.9999237060547 ms
Received_data:aa55230000045dfc615c; usetime/send:208.9998722076416 ms
